0x7F96,0x8050,0x99,0x92
0x8028,0x800D,0x7D,0x65
0x8019,0x7FFC,0x8A,0x6E
0x7FF7,0x8010,0x8C,0x95
0x8085,0x7FDD,0x7D,0x5F
0x7FAE,0x800E,0xAC,0x7A
0x8000,0x804C,0x70,0x67
0x802A,0x7F98,0x58,0x93
0x7FE5,0x7FEC,0x7F,0x71
0x80AC,0x7F6F,0x8E,0xB8
0x8026,0x8080,0x82,0x77
0x802C,0x8040,0x5D,0x8A
0x7FAB,0x8054,0x82,0x9F
0x8060,0x7FF5,0x99,0x5D
0x7FDA,0x7FD7,0x86,0x82
0x7FB1,0x7F97,0x8B,0x71
0x7FFA,0x80A1,0x72,0x60
0x7FC9,0x7F33,0x68,0x88
0x8027,0x7F89,0x8F,0x81
0x7FFA,0x7FE4,0x75,0x89
0x7FFF,0x7FA5,0x9B,0x81
0x7FDF,0x7F6C,0x9F,0x79
0x7FED,0x7F8A,0x5A,0x8F
0x7FE5,0x800A,0x95,0x6D
0x8021,0x7F81,0x56,0x97
0x7F52,0x7FC2,0xC1,0x90
0x7F3E,0x7FE7,0x81,0x86
0x8073,0x80D2,0x8C,0x8E
0x807E,0x8065,0x74,0x7A
0x7FEB,0x7F88,0x85,0x6B
0x7FD4,0x8013,0x89,0x67
0x7FEB,0x7F79,0x6A,0x8A
0x7FDF,0x7FC2,0x7E,0x61
0x8077,0x7F97,0x8F,0x86
0x7FDF,0x805F,0x84,0x6F
0x8005,0x8040,0x6E,0x89
0x8097,0x7FEE,0x7F,0xA1
0x7FBC,0x7FF5,0x61,0x85
0x7FB1,0x8019,0x93,0x80
0x7FB1,0x8062,0x83,0x61
0x7FF0,0x7FFE,0x75,0x76
0x8061,0x800C,0x6F,0x75
0x8065,0x7F81,0x8C,0x7E
0x80BC,0x7FC6,0x85,0x62
0x8024,0x7F9E,0x80,0x8D
0x7F63,0x7FAD,0x97,0x84
0x7FFA,0x7FCD,0x82,0x7B
0x804F,0x7FB3,0x89,0x83
0x7FF9,0x8046,0x82,0x82
0x7FC2,0x801B,0x93,0x79
0x7FAD,0x7FD2,0x91,0x70
0x7FFB,0x7FC5,0x89,0x94
0x7F16,0x7FBE,0xA5,0x67
0x7FF1,0x7FF5,0x89,0x86
0x7FE6,0x7FEC,0x70,0x96
0x7FAE,0x7FFD,0x8E,0x93
0x802E,0x7FDD,0x75,0x90
0x80F0,0x8008,0x7C,0x52
0x808E,0x8077,0x9B,0x89
0x7FAA,0x7FE9,0x9E,0x8C
0x7FE4,0x802A,0x93,0x8F
0x7FA0,0x7FFA,0x95,0x88
0x80D1,0x7F69,0x89,0xA3
0x7FF1,0x806F,0x88,0x66
0x8039,0x8026,0x9C,0xA2
0x7FEF,0x7F9D,0x5F,0x91
0x7FE1,0x7FC3,0x6F,0x93
0x8039,0x7F11,0x6F,0xAB
0x8060,0x7F0E,0x78,0x84
